name,lat,lon,address,tel,URL,category1,category2
塩浜市民体育館,35.66091272,139.9144801,市川市塩浜4-9-1,047-398-2311,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｼｵﾊﾏｼﾐﾝﾀｲｸｶﾝ,1階ﾛﾋﾞ-
地域ｹｱ南行徳第二,35.66239183,139.9132114,市川市塩浜4-2-2-101,047-398-8347,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾁｲｷｹｱﾐﾅﾐｷﾞｮｳﾄｸﾀﾞｲﾆ,入口脇
塩浜保育園,35.66312311,139.9113897,市川市塩浜4-2-10-101,047-397-2628,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｼｵﾊﾏﾎｲｸｴﾝ,玄関内
いきいきｾﾝﾀ-塩浜,35.66327533,139.9129693,市川市塩浜4-3 ﾊｲﾀｳﾝ塩浜1-101,047-395-2586,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｲｷｲｷｾﾝﾀ-ｼｵﾊﾏ,1階ﾎ-ﾙ
塩浜中学校(塩浜学園),35.66351708,139.9154106,市川市塩浜4-6-1,047-397-4421,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｼｵﾊﾏﾁｭｳｶﾞｯｺｳ(ｼｵﾊﾏｶﾞｸｴﾝ),1階職員室前廊下壁面
塩浜小学校(塩浜学園),35.66474381,139.9141195,市川市塩浜4-5-1,047-397-1250,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｼｵﾊﾏｼｮｳｶﾞｯｺｳ(ｼｵﾊﾏｶﾞｸｴﾝ),女子ﾄｲﾚ入口横
福栄ｽﾎﾟ-ﾂ広場,35.66708961,139.9107308,市川市福栄4-32-4,047-398-0606,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾌｸｴｲｽﾎﾟ-ﾂﾋﾛﾊﾞ,管理事務所内
いきいきｾﾝﾀ-福栄,35.66939803,139.909286,市川市福栄4-32-2,047-395-6906,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｲｷｲｷｾﾝﾀ-ﾌｸｴｲ,1階ﾎ-ﾙ
新井地域ふれあい館,35.66976167,139.8987025,市川市新井3-31-1,047-395-5019,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｱﾗｲﾁｲｷﾌﾚｱﾝｶﾝ,1階管理人室前
南行徳中学校,35.67094997,139.9067578,市川市南行徳2-2-2,047-397-5910,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾐﾅﾐｷﾞｮｳﾄｸﾁｭｳｶﾞｯｺｳ,1階廊下前
富美浜小学校,35.67159986,139.9052672,市川市南行徳2-3-1,047-396-2522,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾌﾐﾊﾏｼｮｳｶﾞｯｺｳ,校長室前廊下
南行徳保健ｾﾝﾀ-,35.67169225,139.9013899,市川市南行徳1-21-1,047-359-8785,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾐﾅﾐｷﾞｮｳﾄｸﾎｹﾝｾﾝﾀ-,4階事務室入口横棚
南行徳市民ｾﾝﾀ-,35.6717,139.90147,市川市南行徳1-21-1,047-359-7891,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾐﾅﾐｷﾞｮｳﾄｸｼﾐﾝｾﾝﾀ-,3階南行徳市民談話室事務室
福栄小学校,35.67214861,139.9070793,市川市南行徳2-2-1,047-397-8115,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾌｸｴｲｼｮｳｶﾞｯｺｳ,1階市民図書室前廊下
福栄中学校,35.67391336,139.9101519,市川市福栄3-4-1,047-396-0701,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾌｸｴﾁｭｳｶﾞｯｺｳ,1階職員玄関
南新浜小学校,35.67411667,139.9162389,市川市新浜1-26-1,047-396-9731,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾐﾅﾐﾆｲﾊﾏｼｮｳｶﾞｯｺｳ,1階保健室前廊下
新井小学校,35.67421269,139.8905773,市川市新井1-18-13,047-357-1722,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｱﾗｲｼｮｳｶﾞｯｺｳ,1階昇降口
富美浜地域ふれあい館,35.67538547,139.9055026,市川市欠真間2-31-5,047-356-5844,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾌﾐﾊﾏﾁｲｷﾌﾚｱｲｶﾝ,1階管理人室前
いきいきｾﾝﾀ-日之出,35.67805931,139.9236667,市川市日之出8-18,047-397-8221,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｲｷｲｷｾﾝﾀ-ﾋﾉﾃﾞ,1階玄関正面
行徳保育園,35.678463,139.9136693,市川市行徳駅前4-22-17,047-395-4843,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ｷﾞｮｳﾄｸﾎｲｸｴﾝ,1階事務室入口脇
広尾防災公園,35.67868411,139.8893321,市川市広尾2-3,047-359-0155,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,ﾋﾛｵﾎﾞｳｻｲｺｳｴﾝ,管理棟事務室内
